"","Quarter","Gender","Age (bands and single year)","National - Regional - LA - OAs","Duration of Claim","Client type","value"
"21403","Aug-14","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21404","Nov-14","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21405","Feb-15","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21406","May-15","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21407","Aug-15","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21408","Nov-15","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21409","Feb-16","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21410","May-16","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21411","Aug-16","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21412","Nov-16","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21413","Feb-17","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21414","May-17","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21415","Aug-17","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21416","Nov-17","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21417","Feb-18","Unknown","Under 18","E00024278","1 year and up to 2 years","Working age",0
"21418","Aug-03","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21419","Nov-03","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21420","Feb-04","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21421","May-04","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21422","Aug-04","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21423","Nov-04","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21424","Feb-05","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21425","May-05","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21426","Aug-05","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21427","Nov-05","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21428","Feb-06","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21429","May-06","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21430","Aug-06","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21431","Nov-06","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21432","Feb-07","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21433","May-07","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21434","Aug-07","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21435","Nov-07","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21436","Feb-08","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21437","May-08","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21438","Aug-08","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21439","Nov-08","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21440","Feb-09","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21441","May-09","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21442","Aug-09","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21443","Nov-09","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21444","Feb-10","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21445","May-10","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21446","Aug-10","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21447","Nov-10","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21448","Feb-11","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21449","May-11","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21450","Aug-11","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21451","Nov-11","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21452","Feb-12","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21453","May-12","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21454","Aug-12","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21455","Nov-12","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21456","Feb-13","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21457","May-13","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21458","Aug-13","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21459","Nov-13","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21460","Feb-14","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21461","May-14","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21462","Aug-14","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21463","Nov-14","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21464","Feb-15","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21465","May-15","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21466","Aug-15","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21467","Nov-15","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21468","Feb-16","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21469","May-16","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21470","Aug-16","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21471","Nov-16","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21472","Feb-17","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21473","May-17","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21474","Aug-17","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21475","Nov-17","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21476","Feb-18","Male","18-24","E00024278","1 year and up to 2 years","Working age",0
"21477","Aug-03","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21478","Nov-03","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21479","Feb-04","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21480","May-04","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21481","Aug-04","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21482","Nov-04","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21483","Feb-05","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21484","May-05","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21485","Aug-05","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21486","Nov-05","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21487","Feb-06","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21488","May-06","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21489","Aug-06","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21490","Nov-06","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21491","Feb-07","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21492","May-07","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21493","Aug-07","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21494","Nov-07","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21495","Feb-08","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21496","May-08","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21497","Aug-08","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21498","Nov-08","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21499","Feb-09","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21500","May-09","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21501","Aug-09","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21502","Nov-09","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21503","Feb-10","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21504","May-10","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21505","Aug-10","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21506","Nov-10","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21507","Feb-11","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21508","May-11","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21509","Aug-11","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21510","Nov-11","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21511","Feb-12","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21512","May-12","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21513","Aug-12","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21514","Nov-12","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21515","Feb-13","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21516","May-13","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21517","Aug-13","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21518","Nov-13","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21519","Feb-14","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21520","May-14","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21521","Aug-14","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21522","Nov-14","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21523","Feb-15","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21524","May-15","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21525","Aug-15","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21526","Nov-15","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21527","Feb-16","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21528","May-16","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21529","Aug-16","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21530","Nov-16","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21531","Feb-17","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21532","May-17","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21533","Aug-17","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21534","Nov-17","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21535","Feb-18","Female","18-24","E00024278","1 year and up to 2 years","Working age",0
"21536","Aug-03","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21537","Nov-03","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21538","Feb-04","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21539","May-04","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21540","Aug-04","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21541","Nov-04","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21542","Feb-05","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21543","May-05","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21544","Aug-05","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21545","Nov-05","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21546","Feb-06","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21547","May-06","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21548","Aug-06","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21549","Nov-06","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21550","Feb-07","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21551","May-07","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21552","Aug-07","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21553","Nov-07","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21554","Feb-08","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
"21555","May-08","Unknown","18-24","E00024278","1 year and up to 2 years","Working age",0
